year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2014,3,594918 10 4,*,MICROSOFT CORP,COM,,594918,10,4,59491810,594918104
2014,3,78464A 84 7,*,SPDR SERIES TRUST,SM CAP COMPLETE,,78464A,84,7,78464A84,78464A847
2014,3,92847A 95 0,,VITACOST COM INC,PUT,DELETED,92847A,95,0,92847A95,92847A950
2014,3,559079 90 7,,MAGELLAN HEALTH INC,CALL,,559079,90,7,55907990,559079907
2014,3,384109 95 4,,GRACO INC,PUT,,384109,95,4,38410995,384109954
2014,3,053774 AB 1,,AVIS BUDGET GROUP,NOTE  3.500%10/0,,053774,AB,1,053774AB,053774AB1
2014,3,44919P 95 8,,IAC INTERACTIVECORP,PUT,,44919P,95,8,44919P95,44919P958
2014,3,Y2109Q 95 1,,DRYSHIPS INC,PUT,,Y2109Q,95,1,Y2109Q95,Y2109Q951
2014,3,018490 10 2,*,ALLERGAN INC,COM,,018490,10,2,01849010,018490102
2014,3,444144 90 9,,HUDSON TECHNOLOGIES INC,CALL,,444144,90,9,44414490,444144909
2014,3,002896 20 7,*,ABERCROMBIE & FITCH CO,CL A,,002896,20,7,00289620,002896207
2014,3,M2239P 90 9,,ALCOBRA LTD,CALL,,M2239P,90,9,M2239P90,M2239P909
2014,3,03938L 90 4,,ARCELORMITTAL SA LUXEMBOURG,CALL,,03938L,90,4,03938L90,03938L904
2014,3,78463X 95 1,,SPDR INDEX SHS FDS,PUT,,78463X,95,1,78463X95,78463X951
2014,3,46429B 68 9,*,ISHARES TR,EAFE MIN VOL ETF,,46429B,68,9,46429B68,46429B689
2014,3,886885 95 2,,TILLYS INC,PUT,,886885,95,2,88688595,886885952
2014,3,458685 10 4,,INTERGROUP CORP,COM,,458685,10,4,45868510,458685104
2014,3,747316 90 7,,QUAKER CHEM CORP,CALL,,747316,90,7,74731690,747316907
2014,3,12769A 90 3,,CAFEPRESS INC,CALL,,12769A,90,3,12769A90,12769A903
2014,3,92206C 95 9,,VANGUARD SCOTTSDALE FDS,PUT,,92206C,95,9,92206C95,92206C959
2014,3,48020Q 95 7,,JONES LANG LASALLE INC,PUT,,48020Q,95,7,48020Q95,48020Q957
2014,3,121220 90 7,,BURGER KING WORLDWIDE INC,CALL,,121220,90,7,12122090,121220907
2014,3,260003 95 8,,DOVER CORP,PUT,,260003,95,8,26000395,260003958
2014,3,91529Y 95 6,,UNUM GROUP,PUT,,91529Y,95,6,91529Y95,91529Y956
2014,3,880345 90 3,,TENNANT CO,CALL,,880345,90,3,88034590,880345903
2014,3,857477 10 3,*,STATE STR CORP,COM,,857477,10,3,85747710,857477103
2014,3,590672 95 1,,MESABI TR,PUT,,590672,95,1,59067295,590672951
2014,3,346233 10 9,*,FORESTAR GROUP INC,COM,,346233,10,9,34623310,346233109
2014,3,448954 95 6,,HYPERDYNAMICS CORP,PUT,,448954,95,6,44895495,448954956
2014,3,33939L 82 9,,FLEXSHARES TR,INT QLTDVDYNAM,,33939L,82,9,33939L82,33939L829
