year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2011,3,44984A 90 5,,IPC THE HOSPITALIST CO INC,CALL,,44984A,90,5,44984A90,44984A905
2011,3,25459W 18 5,,DIREXION SHS ETF TR,AIRLINE SHS,,25459W,18,5,25459W18,25459W185
2011,3,835898 90 7,,SOTHEBYS,CALL,,835898,90,7,83589890,835898907
2011,3,045604 95 5,,ASSOCIATED ESTATES RLTY CORP,PUT,,045604,95,5,04560495,045604955
2011,3,20825C 90 4,,CONOCOPHILLIPS,CALL,,20825C,90,4,20825C90,20825C904
2011,3,878377 90 0,,TECHNE CORP,CALL,,878377,90,0,87837790,878377900
2011,3,74347R 90 2,,PROSHARES TR,CALL,,74347R,90,2,74347R90,74347R902
2011,3,380956 90 9,,GOLDCORP INC NEW,CALL,,380956,90,9,38095690,380956909
2011,3,464287 19 2,*,ISHARES TR,TRANSP AVE IDX,,464287,19,2,46428719,464287192
2011,3,169483 AE 4,,CHINA MED TECHNOLOGIES INC,NOTE  6.250%12/1,,169483,AE,4,169483AE,169483AE4
2011,3,45839M 95 3,,INTERACTIVE INTELLIGENCE INC,PUT,DELETED,45839M,95,3,45839M95,45839M953
2011,3,530555 20 0,,LIBERTY GLOBAL INC,COM SER B,,530555,20,0,53055520,530555200
2011,3,867224 90 7,,SUNCOR ENERGY INC NEW,CALL,,867224,90,7,86722490,867224907
2011,3,04351G 90 1,,ASCENA RETAIL GROUP INC,CALL,,04351G,90,1,04351G90,04351G901
2011,3,901109 10 8,*,TUTOR PERINI CORP,COM,,901109,10,8,90110910,901109108
2011,3,36866T 10 3,*,GEN-PROBE INC NEW,COM,,36866T,10,3,36866T10,36866T103
2011,3,29362U 90 4,,ENTEGRIS INC,CALL,,29362U,90,4,29362U90,29362U904
2011,3,451107 10 6,*,IDACORP INC,COM,,451107,10,6,45110710,451107106
2011,3,25459W 90 0,,DIREXION SHS ETF TR,CALL,,25459W,90,0,25459W90,25459W900
2011,3,74347X 81 5,*,PROSHARES TR,ULTRA MDCAP400,,74347X,81,5,74347X81,74347X815
2011,3,46059W 10 2,*,INTERNET HOLDRS TR,DEPOSIT RCPT,,46059W,10,2,46059W10,46059W102
2011,3,55903Q 90 4,,MAG SILVER CORP,CALL,,55903Q,90,4,55903Q90,55903Q904
2011,3,28176E 10 8,*,EDWARDS LIFESCIENCES CORP,COM,,28176E,10,8,28176E10,28176E108
2011,3,301835 95 4,,EXETER RES CORP,PUT,,301835,95,4,30183595,301835954
2011,3,48242W 90 6,,KBR INC,CALL,,48242W,90,6,48242W90,48242W906
2011,3,464287 90 6,,ISHARES TR,CALL,,464287,90,6,46428790,464287906
2011,3,87953J 10 2,*,TELESTONE TECHNOLOGIES CORP,COM,,87953J,10,2,87953J10,87953J102
2011,3,21870Q 95 5,,CORESITE RLTY CORP,PUT,,21870Q,95,5,21870Q95,21870Q955
2011,3,74347R 49 5,,PROSHARES TR,PSHS ULT MCP VAL,,74347R,49,5,74347R49,74347R495
2011,3,890516 10 7,*,TOOTSIE ROLL INDS INC,COM,,890516,10,7,89051610,890516107
2011,3,87600U 90 4,,TANZANIAN ROYALTY EXPL CORP,CALL,,87600U,90,4,87600U90,87600U904
2011,3,78464A 95 1,,SPDR SERIES TRUST,PUT,,78464A,95,1,78464A95,78464A951
2011,3,488152 30 7,*,KELLY SVCS INC,CL B,,488152,30,7,48815230,488152307
2011,3,92857W 95 9,,VODAFONE GROUP PLC NEW,PUT,,92857W,95,9,92857W95,92857W959
2011,3,M7524R 10 8,,OPTIBASE LTD,ORD,,M7524R,10,8,M7524R10,M7524R108
2011,3,558268 10 8,,MADISON STRTG SECTOR PREM FD,COM,,558268,10,8,55826810,558268108
2011,3,365558 90 5,,GARDNER DENVER INC,CALL,,365558,90,5,36555890,365558905
2011,3,78463X 90 3,,SPDR INDEX SHS FDS,CALL,,78463X,90,3,78463X90,78463X903
2011,3,09255Q 10 5,,BLACKROCK DEFINED OPPRTY CR,COM,,09255Q,10,5,09255Q10,09255Q105
2011,3,04033A 10 0,*,ARIAD PHARMACEUTICALS INC,COM,,04033A,10,0,04033A10,04033A100
2011,3,130788 95 2,,CALIFORNIA WTR SVC GROUP,PUT,,130788,95,2,13078895,130788952
2011,3,603432 90 5,,MINES MGMT INC,CALL,,603432,90,5,60343290,603432905
2011,3,G8766E 10 9,*,TEXTAINER GROUP HOLDINGS LTD,SHS,,G8766E,10,9,G8766E10,G8766E109
2011,3,42330P 10 7,*,HELIX ENERGY SOLUTIONS GRP I,COM,,42330P,10,7,42330P10,42330P107
2011,3,40426A 95 8,,HQ SUSTAINABLE MARITIM IND I,PUT,DELETED,40426A,95,8,40426A95,40426A958
2011,3,92204A 95 3,,VANGUARD WORLD FDS,PUT,,92204A,95,3,92204A95,92204A953
2011,3,91274F 90 4,,U STORE IT TR,CALL,,91274F,90,4,91274F90,91274F904
2011,3,25388B 95 4,,DIGITAL RIV INC,PUT,,25388B,95,4,25388B95,25388B954
2011,3,40051E 90 2,,GRUPO AEROPORTUARIO DEL SURE,CALL,,40051E,90,2,40051E90,40051E902
2011,3,74347X 95 7,,PROSHARES TR,PUT,,74347X,95,7,74347X95,74347X957
2011,3,904708 90 4,,UNIFIRST CORP MASS,CALL,,904708,90,4,90470890,904708904
2011,3,73936T 61 5,,POWERSHARES GLOBAL ETF TRUST,GBL CLEAN ENER,,73936T,61,5,73936T61,73936T615
2011,3,783859 10 1,*,S & T BANCORP INC,COM,,783859,10,1,78385910,783859101
2011,3,74440J 95 1,,PSIVIDA CORP,PUT,,74440J,95,1,74440J95,74440J951
2011,3,002824 90 0,,ABBOTT LABS,CALL,,002824,90,0,00282490,002824900
2011,3,481130 95 2,,JOURNAL COMMUNICATIONS INC,PUT,,481130,95,2,48113095,481130952
2011,3,57060U 40 7,*,MARKET VECTORS ETF TR,GBL ALTER ENRG,,57060U,40,7,57060U40,57060U407
2011,3,038222 90 5,,APPLIED MATLS INC,CALL,,038222,90,5,03822290,038222905
2011,3,85517P 95 1,,STAR SCIENTIFIC INC,PUT,,85517P,95,1,85517P95,85517P951
2011,3,87233Q 90 8,,TC PIPELINES LP,CALL,,87233Q,90,8,87233Q90,87233Q908
2011,3,43689E 10 7,,HOME BANCORP INC,COM,,43689E,10,7,43689E10,43689E107
2011,3,464287 95 7,,ISHARES TR,PUT,,464287,95,7,46428795,464287957
2011,3,78467J 10 0,*,SS&C TECHNOLOGIES HLDGS INC,COM,,78467J,10,0,78467J10,78467J100
2011,3,67107W 90 0,,O2MICRO INTERNATIONAL LTD,CALL,,67107W,90,0,67107W90,67107W900
2011,3,038923 10 8,,ARBOR RLTY TR INC,COM,,038923,10,8,03892310,038923108
2011,3,74347X 95 3,,PROSHARES TR,PUT,,74347X,95,3,74347X95,74347X953
2011,3,26922V 10 1,,ETFS PLATINUM TR,SH BEN INT,,26922V,10,1,26922V10,26922V101
2011,3,N22717 10 7,*,CORE LABORATORIES N V,COM,,N22717,10,7,N2271710,N22717107
