year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2010,2,464288 95 1,,ISHARES TR,PUT,,464288,95,1,46428895,464288951
2010,2,97717W 95 2,,WISDOMTREE TRUST,PUT,,97717W,95,2,97717W95,97717W952
2010,2,40415F 95 1,,HDFC BANK LTD,PUT,,40415F,95,1,40415F95,40415F951
2010,2,24702R 95 1,,DELL INC,PUT,,24702R,95,1,24702R95,24702R951
2010,2,97717W 70 3,,WISDOMTREE TRUST,DEFA FD,,97717W,70,3,97717W70,97717W703
2010,2,037347 90 1,,ANWORTH MORTGAGE ASSET CP,CALL,,037347,90,1,03734790,037347901
2010,2,579064 10 6,*,MCAFEE INC,COM,,579064,10,6,57906410,579064106
2010,2,000886 AF 8,,A D C TELECOMMUNICATIONS,NOTE  3.500% 7/1,,000886,AF,8,000886AF,000886AF8
2010,2,200340 95 7,,COMERICA INC,PUT,,200340,95,7,20034095,200340957
2010,2,607828 95 0,,MODINE MFG CO,PUT,,607828,95,0,60782895,607828950
2010,2,921937 95 9,,VANGUARD BD INDEX FD INC,PUT,,921937,95,9,92193795,921937959
2010,2,464287 63 0,*,ISHARES TR INDEX,RUSL 2000 VALU,,464287,63,0,46428763,464287630
2010,2,45666Q 95 2,,INFORMATICA CORP,PUT,,45666Q,95,2,45666Q95,45666Q952
2010,2,150934 50 3,*,CELL THERAPEUTICS INC,COM NO PAR,,150934,50,3,15093450,150934503
2010,2,391523 10 7,*,GREAT WOLF RESORTS INC,COM,,391523,10,7,39152310,391523107
2010,2,629484 10 6,,NYMAGIC INC,COM,,629484,10,6,62948410,629484106
2010,2,032015 90 9,,AMPAL AMERN ISRAEL CORP,CALL,,032015,90,9,03201590,032015909
2010,2,320655 10 3,,FIRST KEYSTONE FINL INC,COM,,320655,10,3,32065510,320655103
2010,2,25746Q 10 8,,DOMINION RES BLACK WARRIOR T,UNITS BEN INT,,25746Q,10,8,25746Q10,25746Q108
2010,2,79377W 95 8,,SAKS INC,PUT,,79377W,95,8,79377W95,79377W958
2010,2,808524 90 8,,SCHWAB STRATEGIC TR,CALL,,808524,90,8,80852490,808524908
2010,2,68557K 95 9,,ORBITZ WORLDWIDE INC,PUT,,68557K,95,9,68557K95,68557K959
2010,2,74973W 95 7,,RTI INTL METALS INC,PUT,,74973W,95,7,74973W95,74973W957
2010,2,336919 90 5,,FIRST TR VAL LINE EQ ALLO IN,CALL,,336919,90,5,33691990,336919905
2010,2,025676 AG 2,,AMERICAN EQTY INVT LIFE HLD,NOTE  5.250%12/0,,025676,AG,2,025676AG,025676AG2
2010,2,543524 95 0,,LOOPNET INC,PUT,,543524,95,0,54352495,543524950
2010,2,74347X 60 9,,PROSHARES TR,ULTRSH MSCI PAC,,74347X,60,9,74347X60,74347X609
2010,2,635017 10 6,*,NATIONAL BEVERAGE CORP,COM,,635017,10,6,63501710,635017106
2010,2,714046 10 9,*,PERKINELMER INC,COM,,714046,10,9,71404610,714046109
2010,2,261570 95 5,,DRESS BARN INC,PUT,,261570,95,5,26157095,261570955
2010,2,05329W 90 2,,AUTONATION INC,CALL,,05329W,90,2,05329W90,05329W902
2010,2,78486Q 90 1,,SVB FINL GROUP,CALL,,78486Q,90,1,78486Q90,78486Q901
2010,2,020772 90 9,,ALPHA PRO TECH LTD,CALL,,020772,90,9,02077290,020772909
2010,2,987413 95 1,,YOUBET COM INC,PUT,DELETED,987413,95,1,98741395,987413951
2010,2,448579 10 2,*,HYATT HOTELS CORP,COM CL A,,448579,10,2,44857910,448579102
2010,2,22160K 10 5,*,COSTCO WHSL CORP NEW,COM,,22160K,10,5,22160K10,22160K105
2010,2,448579 90 2,,HYATT HOTELS CORP,CALL,,448579,90,2,44857990,448579902
2010,2,920253 10 1,*,VALMONT INDS INC,COM,,920253,10,1,92025310,920253101
2010,2,390607 90 9,,GREAT LAKES DREDGE & DOCK CO,CALL,,390607,90,9,39060790,390607909
2010,2,101119 90 5,,BOSTON PRIVATE FINL HLDGS IN,CALL,,101119,90,5,10111990,101119905
2010,2,29259G 10 1,,ENDEAVOUR INTL CORP,COM,,29259G,10,1,29259G10,29259G101
2010,2,460690 10 0,*,INTERPUBLIC GROUP COS INC,COM,,460690,10,0,46069010,460690100
2010,2,532352 90 1,,LIHUA INTL INC,CALL,,532352,90,1,53235290,532352901
2010,2,500600 10 1,*,KOPIN CORP,COM,,500600,10,1,50060010,500600101
2010,2,46132H 10 6,,INVESCO VAN KAMPEN CALIF VAL,COM,ADDED,46132H,10,6,46132H10,46132H106
2010,2,464288 95 6,,ISHARES TR,PUT,,464288,95,6,46428895,464288956
2010,2,14159U 20 2,*,CARDIOME PHARMA CORP,COM NEW,,14159U,20,2,14159U20,14159U202
2010,2,870297 95 6,,SWEDISH EXPT CR CORP,PUT,,870297,95,6,87029795,870297956
2010,2,76116A 11 6,,RESOLUTE ENERGY CORP,*W EXP 09/25/201,,76116A,11,6,76116A11,76116A116
2010,2,65337Y 10 2,,NEXTWAVE WIRELESS INC,COM,,65337Y,10,2,65337Y10,65337Y102
2010,2,647581 10 7,*,NEW ORIENTAL ED & TECH GRP I,SPON ADR,,647581,10,7,64758110,647581107
2010,2,001204 10 6,*,AGL RES INC,COM,,001204,10,6,00120410,001204106
2010,2,665859 10 4,*,NORTHERN TR CORP,COM,,665859,10,4,66585910,665859104
2010,2,830884 30 0,,SKYSTAR BIO-PHARMA CO,COM PAR $.001,,830884,30,0,83088430,830884300
2010,2,197779 10 1,*,COLUMBIA LABS INC,COM,,197779,10,1,19777910,197779101
2010,2,464288 95 0,,ISHARES TR,PUT,,464288,95,0,46428895,464288950
2010,2,121208 95 1,,BURGER KING HLDGS INC,PUT,,121208,95,1,12120895,121208951
2010,2,29257A 90 6,,ENCORE ENERGY PARTNERS LP,CALL,,29257A,90,6,29257A90,29257A906
2010,2,777780 10 7,*,ROSETTA STONE INC,COM,,777780,10,7,77778010,777780107
