year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2011,1,883203 BN 0,,TEXTRON INC,NOTE  4.500% 5/0,,883203,BN,0,883203BN,883203BN0
2011,1,872375 95 0,,TECO ENERGY INC,PUT,,872375,95,0,87237595,872375950
2011,1,898349 10 5,*,TRUSTCO BK CORP N Y,COM,,898349,10,5,89834910,898349105
2011,1,185860 90 3,,CLEVELAND BIOLABS INC,CALL,,185860,90,3,18586090,185860903
2011,1,030975 90 6,,AMERIGAS PARTNERS L P,CALL,,030975,90,6,03097590,030975906
2011,1,69344M AK 7,,PMI GROUP INC,NOTE  4.500% 4/1,,69344M,AK,7,69344MAK,69344MAK7
2011,1,75040P 95 5,,RADIO ONE INC,PUT,,75040P,95,5,75040P95,75040P955
2011,1,592770 10 1,,MEXCO ENERGY CORP,COM,,592770,10,1,59277010,592770101
2011,1,337930 50 7,,FLAGSTAR BANCORP INC,COM NEW,,337930,50,7,33793050,337930507
2011,1,497266 10 6,*,KIRBY CORP,COM,,497266,10,6,49726610,497266106
2011,1,853626 10 9,*,STANDARD MICROSYSTEMS CORP,COM,,853626,10,9,85362610,853626109
2011,1,617480 28 0,,MORGAN STANLEY,SHRT EUR ETN20,,617480,28,0,61748028,617480280
2011,1,477839 90 4,,JOHN BEAN TECHNOLOGIES CORP,CALL,,477839,90,4,47783990,477839904
2011,1,31946M 10 3,,FIRST CTZNS BANCSHARES INC N,CL A,,31946M,10,3,31946M10,31946M103
2011,1,98978L 10 5,,ZOGENIX INC,COM,,98978L,10,5,98978L10,98978L105
2011,1,92204A 20 7,*,VANGUARD WORLD FDS,CONSUM STP ETF,,92204A,20,7,92204A20,92204A207
2011,1,883203 90 1,,TEXTRON INC,CALL,,883203,90,1,88320390,883203901
2011,1,70159Q 90 4,,PARKWAY PPTYS INC,CALL,,70159Q,90,4,70159Q90,70159Q904
2011,1,050912 20 3,*,AUGUSTA RES CORP,COM NEW,,050912,20,3,05091220,050912203
2011,1,252784 30 1,*,DIAMONDROCK HOSPITALITY CO,COM,,252784,30,1,25278430,252784301
2011,1,72369J 10 2,,PIONEER FLOATING RATE TR,COM,,72369J,10,2,72369J10,72369J102
2011,1,464287 90 3,,ISHARES TR,CALL,,464287,90,3,46428790,464287903
2011,1,156782 10 4,*,CERNER CORP,COM,,156782,10,4,15678210,156782104
2011,1,67062U 10 7,,NUVEEN CA MUN MKT OPPORTUNT,COM,,67062U,10,7,67062U10,67062U107
2011,1,521863 90 8,,LEAP WIRELESS INTL INC,CALL,,521863,90,8,52186390,521863908
2011,1,74051E 10 2,*,PREMIER EXIBITIONS INC,COM,,74051E,10,2,74051E10,74051E102
2011,1,008272 10 6,,AFFIRMATIVE INS HLDGS INC,COM,,008272,10,6,00827210,008272106
2011,1,73936T 95 4,,POWERSHARES GLOBAL ETF TRUST,PUT,,73936T,95,4,73936T95,73936T954
2011,1,M87245 95 2,,SYNERON MEDICAL LTD,PUT,,M87245,95,2,M8724595,M87245952
2011,1,210371 10 0,*,CONSTELLATION ENERGY GROUP I,COM,,210371,10,0,21037110,210371100
2011,1,21254S 13 1,,CONVERTED ORGANICS INC,*W EXP 12/31/201,,21254S,13,1,21254S13,21254S131
2011,1,88102D 90 3,,TERRA NOVA RTY CORP,CALL,,88102D,90,3,88102D90,88102D903
2011,1,067806 90 9,,BARNES GROUP INC,CALL,,067806,90,9,06780690,067806909
2011,1,56804Q 90 2,,MARINA BIOTECH INC,CALL,,56804Q,90,2,56804Q90,56804Q902
2011,1,026874 95 4,,AMERICAN INTL GROUP INC,PUT,,026874,95,4,02687495,026874954
2011,1,292562 10 5,*,ENCORE WIRE CORP,COM,,292562,10,5,29256210,292562105
2011,1,92206C 73 0,,VANGUARD SCOTTSDALE FDS,VNG RUS1000IDX,,92206C,73,0,92206C73,92206C730
2011,1,395258 95 6,,GREENHAVEN CONT CMDTY INDEX,PUT,,395258,95,6,39525895,395258956
2011,1,025195 40 5,*,AMERICAN COMMERCIAL LINES,COM PAR $0.01,DELETED,025195,40,5,02519540,025195405
2011,1,53224K 95 4,,LIGHTBRIDGE CORP,PUT,,53224K,95,4,53224K95,53224K954
2011,1,16411R 95 8,,CHENIERE ENERGY INC,PUT,,16411R,95,8,16411R95,16411R958
2011,1,171798 10 1,*,CIMAREX ENERGY CO,COM,,171798,10,1,17179810,171798101
2011,1,302445 90 1,,FLIR SYS INC,CALL,,302445,90,1,30244590,302445901
2011,1,075887 95 9,,BECTON DICKINSON & CO,PUT,,075887,95,9,07588795,075887959
2011,1,09255M 10 4,,BLACKROCK CORPOR HI YLD III,COM,,09255M,10,4,09255M10,09255M104
2011,1,78464A 95 0,,SPDR SERIES TRUST,PUT,,78464A,95,0,78464A95,78464A950
2011,1,26942G 10 0,,EAGLE BANCORP MONT INC,COM,,26942G,10,0,26942G10,26942G100
2011,1,169453 90 7,,CHINA TRANSINFO TECHNLGY COR,CALL,,169453,90,7,16945390,169453907
2011,1,765641 90 3,,RICKS CABARET INTL INC,CALL,,765641,90,3,76564190,765641903
2011,1,587200 AD 8,,MENTOR GRAPHICS CORP,FRNT         8/0,DELETED,587200,AD,8,587200AD,587200AD8
2011,1,062540 10 9,*,BANK HAWAII CORP,COM,,062540,10,9,06254010,062540109
2011,1,210371 90 0,,CONSTELLATION ENERGY GROUP I,CALL,,210371,90,0,21037190,210371900
2011,1,464287 90 5,,ISHARES TR,CALL,,464287,90,5,46428790,464287905
2011,1,95766K 10 9,,WESTERN ASSET HIGH INCM OPP,COM,,95766K,10,9,95766K10,95766K109
2011,1,656553 10 4,,NORTECH SYS INC,COM,,656553,10,4,65655310,656553104
2011,1,53071M 70 8,*,LIBERTY MEDIA CORP NEW,LIB STAR COM A,,53071M,70,8,53071M70,53071M708
2011,1,053494 10 0,*,AVATAR HLDGS INC,COM,,053494,10,0,05349410,053494100
2011,1,65339F 95 1,,NEXTERA ENERGY INC,PUT,,65339F,95,1,65339F95,65339F951
2011,1,74833W 90 6,,QUEPASA CORP,CALL,ADDED,74833W,90,6,74833W90,74833W906
2011,1,61748W AB 4,,MORGANS HOTEL GROUP CO,NOTE  2.375%10/1,,61748W,AB,4,61748WAB,61748WAB4
2011,1,72201R 60 1,,PIMCO ETF TR,3-7YR US TREAS,,72201R,60,1,72201R60,72201R601
2011,1,921564 90 0,,VANCEINFO TECHNOLOGIES INC,CALL,,921564,90,0,92156490,921564900
2011,1,541402 10 3,,LOGIC DEVICES INC,COM,DELETED,541402,10,3,54140210,541402103
2011,1,94770W 10 0,,WEBMEDIABRANDS INC,COM,,94770W,10,0,94770W10,94770W100
2011,1,73936T 90 3,,POWERSHARES GLOBAL ETF TRUST,CALL,,73936T,90,3,73936T90,73936T903
2011,1,092546 10 0,,BLACKROCK ECOSOLUTIONS INVT,COM SH,,092546,10,0,09254610,092546100
2011,1,97651M 95 9,,WIPRO LTD,PUT,,97651M,95,9,97651M95,97651M959
2011,1,46261R 10 7,,IPARTY CORP,COM,,46261R,10,7,46261R10,46261R107
