year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2015,1,27876L 95 6,,ECHO THERAPEUTICS INC,PUT,,27876L,95,6,27876L95,27876L956
2015,1,092479 10 4,,BLACKROCK MUNICIPL INC QLTY,COM,,092479,10,4,09247910,092479104
2015,1,001282 95 2,,A H BELO CORP,PUT,,001282,95,2,00128295,001282952
2015,1,37950E 70 5,*,GLOBAL X FDS,CHINA INDL ETF,,37950E,70,5,37950E70,37950E705
2015,1,896095 10 6,,TRICO BANCSHARES,COM,,896095,10,6,89609510,896095106
2015,1,04685W 90 3,,ATHENAHEALTH INC,CALL,,04685W,90,3,04685W90,04685W903
2015,1,29444U 90 2,,EQUINIX INC,CALL,DELETED,29444U,90,2,29444U90,29444U902
2015,1,743606 90 5,,PROSPERITY BANCSHARES INC,CALL,,743606,90,5,74360690,743606905
2015,1,10501E 20 1,*,BRAINSTORM CELL THERAPEUTICS,COM NEW,,10501E,20,1,10501E20,10501E201
2015,1,67060Q 10 8,,NUVEEN MO PREM INCOME MUN FD,COM,,67060Q,10,8,67060Q10,67060Q108
2015,1,74734M AB 5,,QIHOO 360 TECHNOLOGY CO LTD,NOTE  2.500% 9/1,ADDED,74734M,AB,5,74734MAB,74734MAB5
2015,1,279158 90 9,,ECOPETROL S A,CALL,,279158,90,9,27915890,279158909
2015,1,82705T 90 2,,SILICON IMAGE INC,CALL,DELETED,82705T,90,2,82705T90,82705T902
2015,1,97717X 84 2,*,WISDOMTREE TR,ASIA LC DBT FD,,97717X,84,2,97717X84,97717X842
2015,1,32055Y 95 1,,FIRST INTST BANCSYSTEM INC,PUT,,32055Y,95,1,32055Y95,32055Y951
2015,1,00770C 95 1,,ADVANCED EMISSIONS SOLUTS IN,PUT,DELETED,00770C,95,1,00770C95,00770C951
2015,1,25389M 95 7,,DIGITALGLOBE INC,PUT,,25389M,95,7,25389M95,25389M957
2015,1,76169C 10 0,*,REXFORD INDL RLTY INC,COM,,76169C,10,0,76169C10,76169C100
2015,1,291525 20 2,,EMMIS COMMUNICATIONS CORP,PFD CV SER A,,291525,20,2,29152520,291525202
2015,1,57060U 13 4,,MARKET VECTORS ETF TR,MKT VECTR WIDE,,57060U,13,4,57060U13,57060U134
2015,1,20825C 95 4,,CONOCOPHILLIPS,PUT,,20825C,95,4,20825C95,20825C954
