year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2011,2,925811 10 1,,VICON INDS INC,COM,,925811,10,1,92581110,925811101
2011,2,74973W 90 7,,RTI INTL METALS INC,CALL,,74973W,90,7,74973W90,74973W907
2011,2,885160 90 1,,THOR INDS INC,CALL,,885160,90,1,88516090,885160901
2011,2,26613Q 95 6,,DUPONT FABROS TECHNOLOGY INC,PUT,,26613Q,95,6,26613Q95,26613Q956
2011,2,54222A 10 6,,LONE PINE RES INC,COM,ADDED,54222A,10,6,54222A10,54222A106
2011,2,543524 95 0,,LOOPNET INC,PUT,,543524,95,0,54352495,543524950
2011,2,251893 90 3,,DEVRY INC DEL,CALL,,251893,90,3,25189390,251893903
2011,2,30243C 10 7,,FFD FINL CORP,COM,,30243C,10,7,30243C10,30243C107
2011,2,78573L 90 6,,SABRA HEALTH CARE REIT INC,CALL,,78573L,90,6,78573L90,78573L906
2011,2,25154K 86 6,,DEUTSCHE BK AG LONDON BRH,PS CR OIL LG ETN,,25154K,86,6,25154K86,25154K866
2011,2,29076N 90 6,,EMAGIN CORP,CALL,,29076N,90,6,29076N90,29076N906
2011,2,464288 60 4,,ISHARES TR,SMLL GRWTH IDX,,464288,60,4,46428860,464288604
2011,2,501044 95 1,,KROGER CO,PUT,,501044,95,1,50104495,501044951
2011,2,808524 85 4,*,SCHWAB STRATEGIC TR,INTRM TRM TRES,,808524,85,4,80852485,808524854
2011,2,465741 90 6,,ITRON INC,CALL,,465741,90,6,46574190,465741906
2011,2,10807M 10 5,*,BRIDGEPOINT ED INC,COM,,10807M,10,5,10807M10,10807M105
2011,2,80105N 90 5,,SANOFI,CALL,,80105N,90,5,80105N90,80105N905
2011,2,74762E 10 2,*,QUANTA SVCS INC,COM,,74762E,10,2,74762E10,74762E102
2011,2,404251 95 0,,HNI CORP,PUT,,404251,95,0,40425195,404251950
2011,2,33736G 10 6,*,FIRST TR ISE GLB WIND ENRG E,COM SHS,,33736G,10,6,33736G10,33736G106
2011,2,40418F 90 8,,HFF INC,CALL,,40418F,90,8,40418F90,40418F908
2011,2,81616X 10 3,*,SELECT COMFORT CORP,COM,,81616X,10,3,81616X10,81616X103
2011,2,19238U 10 7,*,COGDELL SPENCER INC,COM,,19238U,10,7,19238U10,19238U107
2011,2,000361 95 5,,AAR CORP,PUT,,000361,95,5,00036195,000361955
2011,2,943315 95 1,,WAUSAU PAPER CORP,PUT,,943315,95,1,94331595,943315951
2011,2,003687 90 9,,ABITIBIBOWATER INC,CALL,,003687,90,9,00368790,003687909
2011,2,395258 90 6,,GREENHAVEN CONT CMDTY INDEX,CALL,,395258,90,6,39525890,395258906
2011,2,247907 20 7,*,DELTA PETE CORP,COM NEW,,247907,20,7,24790720,247907207
2011,2,78355W 50 2,*,RYDEX ETF TRUST,S&PMC400 PURVL,,78355W,50,2,78355W50,78355W502
2011,2,N00985 95 6,,AERCAP HOLDINGS NV,PUT,,N00985,95,6,N0098595,N00985956
2011,2,06740L 59 2,,BARCLAYS BK PLC,IPATH INVS&P STF,,06740L,59,2,06740L59,06740L592
2011,2,464287 81 2,*,ISHARES TR,CONS GOODS IDX,,464287,81,2,46428781,464287812
2011,2,32020R 90 9,,FIRST FINL BANKSHARES,CALL,,32020R,90,9,32020R90,32020R909
2011,2,34416W 86 6,,FOCUSSHARES TR,MRNSTR CON CYC,ADDED,34416W,86,6,34416W86,34416W866
2011,2,91821K 10 1,,VCG HLDG CORP,COM,DELETED,91821K,10,1,91821K10,91821K101
2011,2,37045V 95 0,,GENERAL MTRS CO,PUT,,37045V,95,0,37045V95,37045V950
2011,2,594901 90 0,,MICROS SYS INC,CALL,,594901,90,0,59490190,594901900
2011,2,501242 90 1,,KULICKE & SOFFA INDS INC,CALL,,501242,90,1,50124290,501242901
2011,2,472147 95 7,,JAZZ PHARMACEUTICALS INC,PUT,,472147,95,7,47214795,472147957
2011,2,537008 90 4,,LITTELFUSE INC,CALL,,537008,90,4,53700890,537008904
2011,2,922908 95 9,,VANGUARD INDEX FDS,PUT,,922908,95,9,92290895,922908959
2011,2,568427 10 8,,MARINE PRODS CORP,COM,,568427,10,8,56842710,568427108
2011,2,207546 10 2,,CONNECTICUT BK&TR CO HART NE,COM,,207546,10,2,20754610,207546102
2011,2,17243V 90 2,,CINEMARK HOLDINGS INC,CALL,,17243V,90,2,17243V90,17243V902
2011,2,48282T 10 4,,KADANT INC,COM,,48282T,10,4,48282T10,48282T104
2011,2,895919 10 8,*,TRIDENT MICROSYSTEMS INC,COM,,895919,10,8,89591910,895919108
2011,2,81763U 10 0,*,SERVICESOURCE INTL LLC,COM,ADDED,81763U,10,0,81763U10,81763U100
