year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2015,3,989207 10 5,*,ZEBRA TECHNOLOGIES CORP,CL A,,989207,10,5,98920710,989207105
2015,3,05460X 13 3,,AXION PWR INTL INC,*W EXP 10/29/201,ADDED,05460X,13,3,05460X13,05460X133
2015,3,30225X 10 3,*,EXTERRAN HLDGS INC,COM,,30225X,10,3,30225X10,30225X103
2015,3,57772K 95 1,,MAXIM INTEGRATED PRODS INC,PUT,,57772K,95,1,57772K95,57772K951
2015,3,57060U 31 6,,MARKET VECTORS ETF TR,BUSI DEVCO ETF,,57060U,31,6,57060U31,57060U316
2015,3,465562 95 6,,ITAU UNIBANCO HLDG SA,PUT,,465562,95,6,46556295,465562956
2015,3,70469L 95 0,,PEAK RESORTS INC,PUT,,70469L,95,0,70469L95,70469L950
2015,3,204166 95 2,,COMMVAULT SYSTEMS INC,PUT,,204166,95,2,20416695,204166952
2015,3,35138V 10 2,*,FOX FACTORY HLDG CORP,COM,,35138V,10,2,35138V10,35138V102
2015,3,902641 64 6,*,UBS AG JERSEY BRH,ALERIAN INFRST,,902641,64,6,90264164,902641646
2015,3,96145D 10 5,*,WESTROCK CO,COM,,96145D,10,5,96145D10,96145D105
2015,3,88830M 90 2,,TITAN INTL INC ILL,CALL,,88830M,90,2,88830M90,88830M902
2015,3,85375C 95 1,,STANDARD PAC CORP NEW,PUT,,85375C,95,1,85375C95,85375C951
2015,3,539439 90 9,,LLOYDS BANKING GROUP PLC,CALL,,539439,90,9,53943990,539439909
2015,3,43858G 95 7,,HONG KONG TELEVISION NETWK L,PUT,,43858G,95,7,43858G95,43858G957
2015,3,87162T 20 6,*,SYNTA PHARMACEUTICALS CORP,COM,,87162T,20,6,87162T20,87162T206
2015,3,894174 90 1,,TRAVELCENTERS AMER LLC,CALL,,894174,90,1,89417490,894174901
2015,3,758075 AB 1,,REDWOOD TR INC,NOTE  4.625% 4/1,,758075,AB,1,758075AB,758075AB1
2015,3,74347B 75 5,,PROSHARES TR,ULSHRT TELE NEW,DELETED,74347B,75,5,74347B75,74347B755
2015,3,687380 10 5,,ORRSTOWN FINL SVCS INC,COM,,687380,10,5,68738010,687380105
2015,3,Y2069P 10 1,*,DIANA CONTAINERSHIPS INC,COM,,Y2069P,10,1,Y2069P10,Y2069P101
2015,3,68827R 95 8,,OSIRIS THERAPEUTICS INC NEW,PUT,,68827R,95,8,68827R95,68827R958
2015,3,G23773 95 7,,CONSOLIDATED WATER CO INC,PUT,,G23773,95,7,G2377395,G23773957
2015,3,78464A 39 1,*,SPDR SERIES TRUST,BRCLY EM LOCL,,78464A,39,1,78464A39,78464A391
2015,3,G5785G 90 7,,MALLINCKRODT PUB LTD CO,CALL,,G5785G,90,7,G5785G90,G5785G907
2015,3,57060U 95 7,,MARKET VECTORS ETF TR,PUT,,57060U,95,7,57060U95,57060U957
2015,3,48238T 90 9,,KAR AUCTION SVCS INC,CALL,,48238T,90,9,48238T90,48238T909
2015,3,464286 95 0,,ISHARES,PUT,,464286,95,0,46428695,464286950
2015,3,69036R 40 0,*,OVERSEAS SHIPHOLDING GROUP I,COM CL B,,69036R,40,0,69036R40,69036R400
2015,3,N47279 95 9,,INTERXION HOLDING N.V,PUT,,N47279,95,9,N4727995,N47279959
