year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2013,3,50076Q 90 6,,KRAFT FOODS GROUP INC,CALL,,50076Q,90,6,50076Q90,50076Q906
2013,3,02076X 10 2,*,ALPHA NATURAL RESOURCES INC,COM,,02076X,10,2,02076X10,02076X102
2013,3,57060U 82 9,*,MARKET VECTORS ETF TR,GAMING ETF,,57060U,82,9,57060U82,57060U829
2013,3,560690 95 8,,MAJESCO ENTERTAINMENT CO,PUT,,560690,95,8,56069095,560690958
2013,3,05508R 10 6,*,B & G FOODS INC NEW,COM,,05508R,10,6,05508R10,05508R106
2013,3,95082P 10 5,*,WESCO INTL INC,COM,,95082P,10,5,95082P10,95082P105
2013,3,36191J 90 1,,GSV CAP CORP,CALL,,36191J,90,1,36191J90,36191J901
2013,3,G47791 95 1,,INGERSOLL-RAND PLC,PUT,,G47791,95,1,G4779195,G47791951
2013,3,56165R 10 3,,MANAGED DURATION INVT GRD FU,COM,,56165R,10,3,56165R10,56165R103
2013,3,25459Y 95 5,,DIREXION SHS ETF TR,PUT,,25459Y,95,5,25459Y95,25459Y955
2013,3,344849 10 4,*,FOOT LOCKER INC,COM,,344849,10,4,34484910,344849104
2013,3,872885 20 7,,TSR INC,COM NEW,,872885,20,7,87288520,872885207
2013,3,22542D 45 6,,CREDIT SUISSE NASSAU BRH,BACK ETN LK IDX,,22542D,45,6,22542D45,22542D456
2013,3,464287 79 6,*,ISHARES,U.S. ENERGY ETF,,464287,79,6,46428779,464287796
2013,3,88579Y 95 1,,3M CO,PUT,,88579Y,95,1,88579Y95,88579Y951
2013,3,004446 95 0,,ACETO CORP,PUT,,004446,95,0,00444695,004446950
2013,3,30162A 95 8,,EXELIS INC,PUT,,30162A,95,8,30162A95,30162A958
2013,3,222795 95 6,,COUSINS PPTYS INC,PUT,,222795,95,6,22279595,222795956
2013,3,285229 10 0,*,ELECTRO SCIENTIFIC INDS,COM,,285229,10,0,28522910,285229100
2013,3,29911Q 20 8,,EVANS BANCORP INC,COM NEW,,29911Q,20,8,29911Q20,29911Q208
2013,3,248356 10 7,*,DENISON MINES CORP,COM,,248356,10,7,24835610,248356107
2013,3,534187 10 9,*,LINCOLN NATL CORP IND,COM,,534187,10,9,53418710,534187109
2013,3,904034 10 5,*,ULTRATECH INC,COM,,904034,10,5,90403410,904034105
2013,3,01861G 90 0,,ALLIANCE HOLDINGS GP LP,CALL,,01861G,90,0,01861G90,01861G900
2013,3,95766L 10 7,,WESTERN ASSET MGD HI INCM FD,COM,,95766L,10,7,95766L10,95766L107
2013,3,952355 90 4,,WEST CORP,CALL,,952355,90,4,95235590,952355904
2013,3,33741H 10 7,,FIRST UTD CORP,COM,,33741H,10,7,33741H10,33741H107
2013,3,84649R 90 0,,SPANSION INC,CALL,,84649R,90,0,84649R90,84649R900
2013,3,380956 90 9,,GOLDCORP INC NEW,CALL,,380956,90,9,38095690,380956909
2013,3,67101N 10 6,,NUVEEN NJ PREM INCOME MUN FD,COM,,67101N,10,6,67101N10,67101N106
2013,3,027297 10 0,,AMERICAN LORAIN CORP,COM,,027297,10,0,02729710,027297100
2013,3,871630 20 8,*,SYNTROLEUM CORP,COM NEW,,871630,20,8,87163020,871630208
2013,3,68243Q 90 6,,1 800 FLOWERS COM,CALL,,68243Q,90,6,68243Q90,68243Q906
2013,3,48242W 95 6,,KBR INC,PUT,,48242W,95,6,48242W95,48242W956
2013,3,907818 95 8,,UNION PAC CORP,PUT,,907818,95,8,90781895,907818958
2013,3,550021 90 9,,LULULEMON ATHLETICA INC,CALL,,550021,90,9,55002190,550021909
2013,3,65249B 90 9,,NEWS CORP NEW,CALL,ADDED,65249B,90,9,65249B90,65249B909
2013,3,78464A 83 9,*,SPDR SERIES TRUST,S&P 400 MDCP VAL,,78464A,83,9,78464A83,78464A839
2013,3,G22538 90 5,,COGO GROUP INC,CALL,,G22538,90,5,G2253890,G22538905
2013,3,962149 10 0,,WEYCO GROUP INC,COM,,962149,10,0,96214910,962149100
2013,3,53261M 10 4,*,LIMELIGHT NETWORKS INC,COM,,53261M,10,4,53261M10,53261M104
2013,3,14309L 10 2,*,CARLYLE GROUP L P,COM UTS LTD PTN,,14309L,10,2,14309L10,14309L102
2013,3,456615 95 3,,INERGY L P,PUT,,456615,95,3,45661595,456615953
2013,3,81783J 95 1,,7 DAYS GROUP HLDGS LTD,PUT,DELETED,81783J,95,1,81783J95,81783J951
2013,3,74022D 90 8,,PRECISION DRILLING CORP,CALL,,74022D,90,8,74022D90,74022D908
2013,3,460951 10 6,*,INTEROIL CORP,COM,,460951,10,6,46095110,460951106
2013,3,559166 95 3,,MAGIC SOFTWARE ENTERPRISES L,PUT,,559166,95,3,55916695,559166953
2013,3,835451 10 5,*,SONIC CORP,COM,,835451,10,5,83545110,835451105
2013,3,501803 95 8,,LCA-VISION INC,PUT,,501803,95,8,50180395,501803958
2013,3,112900 95 5,,BROOKFIELD OFFICE PPTYS INC,PUT,,112900,95,5,11290095,112900955
2013,3,25459W 15 1,*,DIREXION SHS ETF TR,DRX S&P500BEAR,DELETED,25459W,15,1,25459W15,25459W151
2013,3,966389 90 8,,WHITING USA TR I,CALL,,966389,90,8,96638990,966389908
2013,3,353514 95 2,,FRANKLIN ELEC INC,PUT,,353514,95,2,35351495,353514952
2013,3,67061E 10 4,,NUVEEN MASS PREM INCOME MUN,COM,,67061E,10,4,67061E10,67061E104
2013,3,749227 60 9,*,RAIT FINANCIAL TRUST,COM NEW,,749227,60,9,74922760,749227609
2013,3,73936Q 84 3,*,POWERSHARES ETF TRUST II,CEF INC COMPST,,73936Q,84,3,73936Q84,73936Q843
2013,3,671807 10 5,,OAK VALLEY BANCORP OAKDALE C,COM,,671807,10,5,67180710,671807105
2013,3,97717W 95 1,,WISDOMTREE TR,PUT,,97717W,95,1,97717W95,97717W951
2013,3,46432F 84 2,*,ISHARES TR,CORE MSCI EAFE,,46432F,84,2,46432F84,46432F842
2013,3,78413F 90 3,,SESA GOA LTD,CALL,ADDED,78413F,90,3,78413F90,78413F903
2013,3,317485 10 0,*,FINANCIAL ENGINES INC,COM,,317485,10,0,31748510,317485100
2013,3,29355X AB 3,,ENPRO INDS INC,DBCV  3.938%10/1,,29355X,AB,3,29355XAB,29355XAB3
2013,3,751198 95 2,,RALLY SOFTWARE DEV CORP,PUT,,751198,95,2,75119895,751198952
2013,3,74347X 95 2,,PROSHARES TR,PUT,,74347X,95,2,74347X95,74347X952
2013,3,870297 60 3,*,SWEDISH EXPT CR CORP,ROG AGRI ETN22,,870297,60,3,87029760,870297603
2013,3,57061R 77 5,,MARKET VECTORS ETF TR,HI YLD TREA BD,,57061R,77,5,57061R77,57061R775
2013,3,921937 90 7,,VANGUARD BD INDEX FD INC,CALL,,921937,90,7,92193790,921937907
2013,3,147448 90 4,,CASELLA WASTE SYS INC,CALL,,147448,90,4,14744890,147448904
2013,3,46267Q 95 2,,IRELAND BK,PUT,,46267Q,95,2,46267Q95,46267Q952
2013,3,300645 10 8,*,EXAR CORP,COM,,300645,10,8,30064510,300645108
2013,3,74347X 65 8,,PROSHARES TR,FTSE CHINA 25,,74347X,65,8,74347X65,74347X658
2013,3,18383M 72 0,,CLAYMORE EXCHANGE TRD FD TR,GUG MIDCAP CORE,,18383M,72,0,18383M72,18383M720
2013,3,25459W 95 7,,DIREXION SHS ETF TR,PUT,,25459W,95,7,25459W95,25459W957
2013,3,169426 90 3,,CHINA TELECOM CORP LTD,CALL,,169426,90,3,16942690,169426903
2013,3,95790C 10 7,,WESTERN ASSET GLOBAL CP DEFI,COM,,95790C,10,7,95790C10,95790C107
2013,3,71672U 95 1,,PETROLOGISTICS LP,PUT,,71672U,95,1,71672U95,71672U951
2013,3,30304R 20 9,,FACTORSHARES TR,PF ISE MINING,,30304R,20,9,30304R20,30304R209
2013,3,29285W 95 4,,ENGILITY HLDGS INC,PUT,,29285W,95,4,29285W95,29285W954
2013,3,268461 88 6,,EGA EMERGING GLOBAL SHS TR,TELECOM GEMS,,268461,88,6,26846188,268461886
2013,3,125141 90 1,,CECO ENVIRONMENTAL CORP,CALL,,125141,90,1,12514190,125141901
2013,3,22757R 10 9,,CROSS TIMBERS RTY TR,TR UNIT,,22757R,10,9,22757R10,22757R109
2013,3,553777 90 3,,MTS SYS CORP,CALL,,553777,90,3,55377790,553777903
2013,3,N00985 90 6,,AERCAP HOLDINGS NV,CALL,,N00985,90,6,N0098590,N00985906
2013,3,345550 95 7,,FOREST CITY ENTERPRISES INC,PUT,,345550,95,7,34555095,345550957
2013,3,017175 10 0,*,ALLEGHANY CORP DEL,COM,,017175,10,0,01717510,017175100
2013,3,29275Y 90 2,,ENERSYS,CALL,,29275Y,90,2,29275Y90,29275Y902
2013,3,903293 90 5,,U S G CORP,CALL,,903293,90,5,90329390,903293905
2013,3,49446R 95 9,,KIMCO RLTY CORP,PUT,,49446R,95,9,49446R95,49446R959
2013,3,277276 95 1,,EASTGROUP PPTY INC,PUT,,277276,95,1,27727695,277276951
2013,3,74347R 95 4,,PROSHARES TR,PUT,,74347R,95,4,74347R95,74347R954
2013,3,126633 95 6,,CVR PARTNERS LP,PUT,,126633,95,6,12663395,126633956
2013,3,37950E 47 3,,GLOBAL X FDS,GLBL X MLP ETF,,37950E,47,3,37950E47,37950E473
2013,3,69327R 10 1,*,PDC ENERGY INC,COM,,69327R,10,1,69327R10,69327R101
2013,3,007974 10 8,*,ADVENT SOFTWARE INC,COM,,007974,10,8,00797410,007974108
2013,3,780259 95 6,,ROYAL DUTCH SHELL PLC,PUT,,780259,95,6,78025995,780259956
2013,3,25459Y 67 8,*,DIREXION SHS ETF TR,20YR TRES BEAR,,25459Y,67,8,25459Y67,25459Y678
2013,3,166764 95 0,,CHEVRON CORP NEW,PUT,,166764,95,0,16676495,166764950
2013,3,53225G 95 2,,LIGHTINTHEBOX HLDG CO LTD,PUT,,53225G,95,2,53225G95,53225G952
2013,3,858912 95 8,,STERICYCLE INC,PUT,,858912,95,8,85891295,858912958
