year,quarter,cusip_no,has_listed_options,issuer_name,issuer_description,status,cusip_6,cusip_2,cusip_1,cusip_8,cusip_9
2013,1,38059T 95 6,,GOLD FIELDS LTD NEW,PUT,,38059T,95,6,38059T95,38059T956
2013,1,82661L 10 1,,SIGMATRON INTL INC,COM,,82661L,10,1,82661L10,82661L101
2013,1,193068 95 2,,COLDWATER CREEK INC,PUT,,193068,95,2,19306895,193068952
2013,1,55405Y 10 0,,MA COM TECHNOLOGY SOLUTIONS,COM,,55405Y,10,0,55405Y10,55405Y100
2013,1,595112 AH 6,,MICRON TECHNOLOGY INC,NOTE  1.875% 6/0,,595112,AH,6,595112AH,595112AH6
2013,1,74347R 95 2,,PROSHARES TR,PUT,,74347R,95,2,74347R95,74347R952
2013,1,08160H 90 1,,BENCHMARK ELECTRS INC,CALL,,08160H,90,1,08160H90,08160H901
2013,1,46612J 95 7,,JDS UNIPHASE CORP,PUT,,46612J,95,7,46612J95,46612J957
2013,1,M7524R 11 6,,OPTIBASE LTD,SHS NEW NIS0.13,,M7524R,11,6,M7524R11,M7524R116
2013,1,64051T 10 0,*,NEOPHOTONICS CORP,COM,,64051T,10,0,64051T10,64051T100
2013,1,256135 95 3,,DR REDDYS LABS LTD,PUT,,256135,95,3,25613595,256135953
2013,1,871503 95 8,,SYMANTEC CORP,PUT,,871503,95,8,87150395,871503958
2013,1,374396 90 9,,GEVO INC,CALL,,374396,90,9,37439690,374396909
2013,1,46261R 10 7,,IPARTY CORP,COM,,46261R,10,7,46261R10,46261R107
2013,1,806693 90 7,,SCHIFF NUTRITION INTL INC,CALL,DELETED,806693,90,7,80669390,806693907
2013,1,08579W 95 3,,BERRY PLASTICS GROUP INC,PUT,,08579W,95,3,08579W95,08579W953
2013,1,629410 90 9,,NTN BUZZTIME INC,CALL,,629410,90,9,62941090,629410909
2013,1,457153 90 4,,INGRAM MICRO INC,CALL,,457153,90,4,45715390,457153904
2013,1,585141 95 4,,MEETME INC,PUT,,585141,95,4,58514195,585141954
2013,1,67075A 10 6,,NUVEEN PFD & INCOME TERM FD,COM,,67075A,10,6,67075A10,67075A106
2013,1,444859 90 2,,HUMANA INC,CALL,,444859,90,2,44485990,444859902
2013,1,883375 95 7,,THERAGENICS CORP,PUT,,883375,95,7,88337595,883375957
2013,1,92778Q 90 9,,VIRGINIA COMM BANCORP INC,CALL,,92778Q,90,9,92778Q90,92778Q909
2013,1,009606 90 4,,AIXTRON SE,CALL,,009606,90,4,00960690,009606904
2013,1,12503M 90 8,,CBOE HLDGS INC,CALL,,12503M,90,8,12503M90,12503M908
2013,1,576314 90 8,,MAST THERAPEUTICS INC,CALL,ADDED,576314,90,8,57631490,576314908
2013,1,G37585 95 9,,GASLOG LTD,PUT,,G37585,95,9,G3758595,G37585959
2013,1,874039 95 0,,TAIWAN SEMICONDUCTOR MFG LTD,PUT,,874039,95,0,87403995,874039950
2013,1,92276F 90 0,,VENTAS INC,CALL,,92276F,90,0,92276F90,92276F900
2013,1,911312 10 6,*,UNITED PARCEL SERVICE INC,CL B,,911312,10,6,91131210,911312106
2013,1,776696 95 6,,ROPER INDS INC NEW,PUT,,776696,95,6,77669695,776696956
2013,1,968223 30 5,,WILEY JOHN & SONS INC,CL B,,968223,30,5,96822330,968223305
2013,1,29269A 90 2,,ENDOCYTE INC,CALL,,29269A,90,2,29269A90,29269A902
2013,1,00504W 90 0,,ACTIVE POWER INC,CALL,DELETED,00504W,90,0,00504W90,00504W900
2013,1,615394 20 2,*,MOOG INC,CL A,,615394,20,2,61539420,615394202
2013,1,52729N 30 8,*,LEVEL 3 COMMUNICATIONS INC,COM NEW,,52729N,30,8,52729N30,52729N308
2013,1,18383Q 95 9,,CLAYMORE EXCHANGE TRD FD TR,PUT,,18383Q,95,9,18383Q95,18383Q959
2013,1,09249L 10 5,,BLACKROCK MD MUNICIPAL BOND,COM,,09249L,10,5,09249L10,09249L105
2013,1,922042 95 8,,VANGUARD INTL EQUITY INDEX F,PUT,,922042,95,8,92204295,922042958
2013,1,88164L 10 0,*,TESSERA TECHNOLOGIES INC,COM,,88164L,10,0,88164L10,88164L100
2013,1,297602 95 4,,ETHAN ALLEN INTERIORS INC,PUT,,297602,95,4,29760295,297602954
2013,1,161151 10 5,,CHART ACQUISITION CORP,COM,ADDED,161151,10,5,16115110,161151105
2013,1,28238P 90 9,,EHEALTH INC,CALL,,28238P,90,9,28238P90,28238P909
2013,1,534187 10 9,*,LINCOLN NATL CORP IND,COM,,534187,10,9,53418710,534187109
2013,1,84649R 95 0,,SPANSION INC,PUT,,84649R,95,0,84649R95,84649R950
2013,1,649604 95 1,,NEW YORK MTG TR INC,PUT,,649604,95,1,64960495,649604951
2013,1,320239 90 6,,FIRST FINL HLDGS INC,CALL,,320239,90,6,32023990,320239906
2013,1,226553 90 5,,CREXUS INVT CORP,CALL,,226553,90,5,22655390,226553905
2013,1,03600T 95 4,,ANNIES INC,PUT,,03600T,95,4,03600T95,03600T954
2013,1,743606 95 5,,PROSPERITY BANCSHARES INC,PUT,,743606,95,5,74360695,743606955
2013,1,591520 20 0,*,METHODE ELECTRS INC,COM,,591520,20,0,59152020,591520200
2013,1,218681 10 4,*,CORE MARK HOLDING CO INC,COM,,218681,10,4,21868110,218681104
2013,1,56400P 20 1,*,MANNKIND CORP,COM,,56400P,20,1,56400P20,56400P201
2013,1,N6596X 95 9,,NXP SEMICONDUCTORS N V,PUT,,N6596X,95,9,N6596X95,N6596X959
